Service Name,Service County,Service License Level,Service Primary Type,Primary Address City Name,Elite Region,Region Number,Transport group,Service Phone,Service Email,lat,lon
Combined Locks Fire & Rescue,Outagamie,Emergency Medical Responder (EMR),911 Non-Transporting Service,Combined Locks,Region 6,,911 Non-Transporting Service,920-810-9112,wiedenbauerk2@combinedlocks.wi.gov,44.265761,-88.31083
Appleton Fire Department,Outagamie,Paramedic,911 Non-Transporting Service,Appleton,Region 6,,911 Non-Transporting Service,920-832-5810,ryan.homman@appleton.org,44.268125,-88.400775
Kimberly Fire Department,Outagamie,Emergency Medical Responder (EMR),911 Non-Transporting Service,Kimberly,Region 6,,911 Non-Transporting Service,920-788-7500,kimberlyems@vokimberly.org,44.271903,-88.340149
Dale Fire & Rescue,Outagamie,Emergency Medical Responder (EMR),911 Non-Transporting Service,Dale,Region 6,,911 Non-Transporting Service,920-779-4609,towndalewi@gmail.com,44.273,-88.6783
Kaukauna Fire Department Ambulance Service,Outagamie,Paramedic,911 Transporting Service,Kaukauna,Region 6,,911 Transporting Service,920-766-6320,schneica@kaukauna-wi.org,44.278766,-88.273376
Kaukauna Vanden Broek First Responders,Outagamie,Emergency Medical Responder (EMR),911 Non-Transporting Service,Kaukauna,Region 6,,911 Non-Transporting Service,920-850-1848,vkfireclerk@gmail.com,44.302164,-88.234909
Appleton Alliance Church Inc.,Outagamie,Emergency Medical Responder (EMR),911 Non-Transporting Service,Appleton,Region 6,,911 Non-Transporting Service,920-931-1115,ghooley@aac.church,44.303202,-88.44568
Grand Chute Fire Department,Outagamie,Paramedic,911 Transporting Service,Grand Chute (Town Of),Region 6,,911 Transporting Service,920-832-6050,matthew.kasriel@grandchutewi.gov,44.303578,-88.442229
Greenville First Responders,Outagamie,Emergency Medical Responder (EMR),911 Non-Transporting Service,Greenville,Region 6,,911 Non-Transporting Service,920-757-7262,ems@greenvillewi.gov,44.303684855,-88.537185359
Hortonville Emergency Medical Services,Outagamie,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hortonville,Region 6,,911 Non-Transporting Service,920-609-7148,Thelmy123@hotmail.com,44.331335,-88.65613
Center (Town Of) First Responders,Outagamie,Emergency Medical Responder (EMR),911 Non-Transporting Service,Appleton,Region 6,,911 Non-Transporting Service,920-595-0294,burchill6@gmail.com,44.359043,-88.490963
Freedom First Responders,Outagamie,Emergency Medical Responder (EMR),911 Non-Transporting Service,Freedom,Region 6,,911 Non-Transporting Service,920-371-5297,rogerstanley57@att.net,44.372344,-88.308703
Ellington Emergency Medical Responders,Outagamie,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hortonville,Region 6,,911 Non-Transporting Service,920-810-1546,ryogerst@icloud.com,44.378565,-88.583012
New London First Responders,Waupaca,Emergency Medical Responder (EMR),911 Non-Transporting Service,New London,Region 6,,911 Non-Transporting Service,920-213-5454,Streyrn@gmail.com,44.390658272,-88.741106289
Shiocton-Bovina Fire Department,Outagamie,Emergency Medical Responder (EMR),911 Non-Transporting Service,Shiocton,Region 6,,911 Non-Transporting Service,920-986-3232,dnabbefeld@shiocton.us,44.442973,-88.57785
Ogdensburg-St. Lawrence Fire & Rescue,Waupaca,Emergency Medical Responder (EMR),911 Non-Transporting Service,Ogdensburg,Region 6,,911 Non-Transporting Service,920-244-7682,pddurrant@wolfnet.net,44.452407984,-89.030987216
Manawa Rural Ambulance,Waupaca,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Manawa,Region 6,,911 Transporting Service,920-596-2593,manawaems@wolfnet.net,44.461701,-88.919739
Black Creek Rescue Service,Outagamie,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Black Creek,Region 6,,911 Transporting Service,920-984-3444,blackcreekrescue@blackcreekwi.net,44.46693,-88.44624
Northwest First Responders,Waupaca,Emergency Medical Responder (EMR),911 Non-Transporting Service,Iola,Region 6,,911 Non-Transporting Service,715-340-4580,debbarton29@gmail.com,44.483805433,-89.110239676
Iola Ambulance Service,Waupaca,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Iola,Region 6,,911 Transporting Service,715-445-2515,iolaamb@tds.net,44.506166,-89.134619
Seymour Rescue Squad,Outagamie,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Seymour,Region 6,,911 Transporting Service,920-833-2209,Seymourrescue1@outlook.com,44.51458273,-88.319330461
Seymour Rural Fire/Emr Department,Outagamie,Emergency Medical Responder (EMR),911 Non-Transporting Service,Seymour,Region 6,,911 Non-Transporting Service,920-268-6870,amhoffman12@yahoo.com,44.514841,-88.321044
Bear Creek Area First Responders,Outagamie,Emergency Medical Responder (EMR),911 Non-Transporting Service,Bear Creek,Region 6,,911 Non-Transporting Service,,sc.selle@hotmail.com,44.531205,-88.727581
Navarino Lessor Ems First Responders,Shawano,Emergency Medical Responder (EMR),911 Non-Transporting Service,Bonduel,Region 6,,911 Non-Transporting Service,920-595-1300,town.lessor@gmail.com,44.610993,-88.488496
Clintonville Area Ambulance Service,Waupaca,Paramedic with Critical Care Endorsement,911 Transporting Service,Clintonville,Region 6,,911 Transporting Service,715-823-5967,clintamb@clintonvilleambulance.org,44.622888,-88.763451
Clintonville Fire Department,Waupaca,Emergency Medical Responder (EMR),911 Non-Transporting Service,Clintonville,Region 6,,911 Non-Transporting Service,715-823-3750,skrueger@clintonvillewi.org,44.623107,-88.763215
Marion Area First Responders,Waupaca,Emergency Medical Responder (EMR),911 Non-Transporting Service,Marion,Region 6,,911 Non-Transporting Service,715-250-0780,ffemtjlh@gmail.com,44.626534,-88.991194
Embarrass Fire Department,Waupaca,Emergency Medical Responder (EMR),911 Non-Transporting Service,Embarrass,Region 6,,911 Non-Transporting Service,920-574-5313,dakotamaynard17@gmail.com,44.664875446,-88.706117559
N.E.W. First Responders,Brown,Emergency Medical Responder (EMR),911 Non-Transporting Service,Pulaski,Region 6,,911 Non-Transporting Service,920-822-7600,nromenesko@goldcross.org,44.673004389,-88.246023232
Grant (Town Of) Ems First Responders,Waupaca,Emergency Medical Responder (EMR),911 Non-Transporting Service,Marion,Region 6,,911 Non-Transporting Service,715-853-6991,ffemtschultz@hotmail.com,44.675477098,-88.889671003
Belle Plaine Ems,Waupaca,Emergency Medical Responder (EMR),911 Non-Transporting Service,Clintonville,Region 6,,911 Non-Transporting Service,715-524-2690,kingkw54166@yahoo.com,44.696546501,88.69048626
Bonduel Area Ems First Responders,Shawano,Emergency Medical Responder (EMR),911 Non-Transporting Service,Bonduel,Region 6,,911 Non-Transporting Service,715-851-5773,hoppe12@yahoo.com,44.738458,-88.447702
Tigerton Area Ambulance Service Association Inc.,Shawano,Emergency Medical Technician (EMT),911 Transporting Service,Tigerton,Region 6,,911 Transporting Service,715-535-2222,taasa911@gmail.com,44.7398,-89.0637
Pella First Responders,Waupaca,Emergency Medical Responder (EMR),911 Non-Transporting Service,Marion,Region 6,,911 Non-Transporting Service,715-460-1265,bjwestfahl@frontier.com,44.742484601,-88.80241836
"Shawano Ambulance Service, Inc.",Shawano,Paramedic with Critical Care Endorsement,911 Transporting Service,Shawano,Region 6,,911 Transporting Service,715-524-2036,ptrinko@shawanoambulance.com,44.783491,-88.609242
Shawano Area Fire Department,Shawano,Emergency Medical Responder (EMR),911 Non-Transporting Service,Shawano,Region 6,,911 Non-Transporting Service,715-526-9888,sborlace@cityofshawano.com,44.784485755,-88.609013418
Wescott Ems First Responders,Shawano,Emergency Medical Responder (EMR),911 Non-Transporting Service,Shawano,Region 6,,911 Non-Transporting Service,715-851-9633,Rodenbeck3475@yahoo.com,44.800306,-88.60975
Wittenberg Area Protective Services District,Shawano,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Wittenberg,Region 6,,911 Transporting Service,715-253-3733,wittenbergambulance@gmail.com,44.823739,-89.170394
Birnamwood Area Emergency Services,Shawano,Emergency Medical Technician (EMT),911 Transporting Service,Birnamwood,Region 6,,911 Transporting Service,715-449-3131,birnamwoodems@gmail.com,44.929735,-89.208811
Sharon Fire & Rescue,Walworth,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Sharon,Region 7,,911 Transporting Service,262-736-4543,sharonfirechief@sharon.wi.gov,42.500612,-88.722478
Salem Lakes (Village Of) Fire & Rescue,Kenosha,Paramedic,911 Transporting Service,Trevor,Region 7,,911 Transporting Service,262-298-5630,acarr@voslwi.gov,42.51348,-88.116507
Kenosha County Fair Association Inc.,Kenosha,Emergency Medical Responder (EMR),911 Non-Transporting Service,Wilmot,Region 7,,911 Non-Transporting Service,262-862-6121,fairmanager@kenoshacofair.com,42.515515772,-88.180690069
Pleasant Prairie Fire & Rescue,Kenosha,Paramedic,911 Transporting Service,Pleasant Prairie,Region 7,,911 Transporting Service,262-694-8027,firerescue@pleasantprairiewi.gov,42.526961685,-87.922051104
Bloomfield Genoa City Fire & Rescue,Walworth,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Pell Lake,Region 7,,911 Transporting Service,262-279-2033,chiefschalow@bgcfire.org,42.531258162,-88.364062264
Twin Lakes Volunteer Fire Department & Rescue Squad,Kenosha,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Twin Lakes,Region 7,,911 Transporting Service,262-877-2373,emschief@twinlakesfire.com,42.531575,-88.252029
Walworth Emergency Services,Walworth,Emergency Medical Technician (EMT),911 Transporting Service,Walworth,Region 7,,911 Transporting Service,262-275-3838,wfr@vi.walworth.wi.gov,42.532904,-88.599846
Randall (Town Of) Fire Department First Responders,Kenosha,Emergency Medical Responder (EMR),911 Non-Transporting Service,Burlington,Region 7,,911 Non-Transporting Service,262-877-2941,antarami@live.com,42.535617987,-88.216085448
Town Of Linn Fire & Ems,Walworth,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Lake Geneva,Region 7,,911 Transporting Service,262-249-8808,FireChief@townoflinn.wi.gov,42.542346,-88.46243
Fontana Fire Rescue Department,Walworth,Paramedic,911 Transporting Service,Fontana (corp name Fontana-on-Geneva Lake),Region 7,,911 Transporting Service,262-275-2131,rmanthy@vi.fontana.wi.gov,42.549309131,-88.577783476
Bristol Fire & Rescue,Kenosha,Paramedic,911 Transporting Service,Bristol,Region 7,,911 Transporting Service,262-857-2711,brst5200@gmail.com,42.556922,-88.048162
"Ljh Ambulance, Inc.",Kenosha,Paramedic with Critical Care Endorsement,Interfacility Transfer Service,Kenosha,Region 7,,Other Primary Service Type,262-951-0712,thomas.pasch@docgo.com,42.576656,-87.842813
Kenosha Fire Department,Kenosha,Paramedic,911 Transporting Service,Kenosha,Region 7,,911 Transporting Service,262-653-4097,wglass@kenosha.org,42.577212,-87.83504
Williams Bay Rescue Squad,Walworth,Emergency Medical Technician (EMT),911 Transporting Service,Williams Bay,Region 7,,911 Transporting Service,262-245-2712,williamsbayems@gmail.com,42.577788,-88.540789
Wheatland (Town Of) Volunteer Fire Department,Kenosha,Emergency Medical Responder (EMR),911 Non-Transporting Service,New Munster,Region 7,,911 Non-Transporting Service,262-891-7660,louisdenko@gmail.com,42.5794,-88.2277
Scout Leaders Rescue Squad,Kenosha,Emergency Medical Technician (EMT),911 Transporting Service,Kenosha,Region 7,,911 Transporting Service,262-652-2041,sclr.schedule@gmail.com,42.595285,-87.845941
Lake Geneva Fire Department - Ems Division,Walworth,Paramedic,911 Transporting Service,Lake Geneva,Region 7,,911 Transporting Service,262-248-6075,ddetkowski@cityoflakegeneva.com,42.598708,-88.43449
Joint Fire / Ems Department Of The Village And Town Of Darien,Walworth,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Darien,Region 7,,911 Transporting Service,262-565-7541,4001bruce@gmail.com,42.607793,-88.719729
Delavan (Town Of) Rescue Squad,Walworth,Paramedic,911 Transporting Service,Delavan,Region 7,,911 Transporting Service,262-728-3780,jpetkoff@tdfd.net,42.619063,-88.541168
Paris (Town Of) Fire & Rescue,Racine,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Union Grove,Region 7,,911 Transporting Service,262-672-6416,colin.hennessey@townofparis.org,42.628711,-88.010159
Delavan (City Of) Fire Department,Walworth,Emergency Medical Technician (EMT),911 Transporting Service,Delavan,Region 7,,911 Transporting Service,262-728-5646,DFDTHOMASONEILL2506@gmail.com,42.630621,-88.635949
Somers Fire & Rescue,Kenosha,Intermediate,911 Transporting Service,Kenosha,Region 7,,911 Transporting Service,262-859-2277,astrom@somers.org,42.639846,-87.900123
Lyons (Town Of) Ambulance Service,Walworth,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Lyons,Region 7,,911 Transporting Service,262-763-3322,cpt2906@townoflyonswi.com,42.654413651,-88.37138694
"Aurora Health Care, Inc.",Walworth,Paramedic with Critical Care Endorsement,Interfacility Transfer Service,Elkhorn,Region 7,,Other Primary Service Type,262-743-3438,Stephanie.Welch@aah.org,42.662481,-88.496701
"Elkhorn Fire Department, Ems Division",Walworth,Paramedic,911 Transporting Service,Elkhorn,Region 7,,911 Transporting Service,262-723-5080,dace@cityofelkhorn.gov,42.671587,-88.544608
Burlington (City Of) Fire Department,Racine,Paramedic,911 Transporting Service,Burlington,Region 7,,911 Transporting Service,262-763-7842,tstuckart@burlington-wi.gov,42.677781,-88.279712
South Shore Consolidated Fire Department,Racine,Paramedic,911 Transporting Service,Racine,Region 7,,911 Transporting Service,262-995-1200,mwienke@mtpleasantwi.gov,42.686579,-87.855784
Kansasville Fire & Rescue Department,Racine,Paramedic,911 Transporting Service,Kansasville,Region 7,,911 Transporting Service,262-878-3811,kansasvillefire@gmail.com,42.689883,-88.121435
Union Grove-Yorkville Fire Department,Racine,Paramedic,911 Transporting Service,Union Grove,Region 7,,911 Transporting Service,262-878-4181,ugyfd14@sbcglobal.net,42.691449,-88.052082
North Central Emergency Medical Services & Rescue Squad,Racine,Emergency Medical Technician (EMT),Interfacility Transfer Service,Racine,Region 7,,Other Primary Service Type,262-729-9886,mailbox@ncemswi.com,42.718837,-87.817576
Racine Fire Department,Racine,Paramedic,911 Transporting Service,Racine,Region 7,,911 Transporting Service,262-635-7927,joshua.weber@cityofracine.org,42.724616,-87.790104
Rochester Volunteer Fire Department,Racine,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Burlington,Region 7,,911 Transporting Service,262-534-3444,rvfc@tds.net,42.738679,-88.229729
"Lakeview Critical Care Ems, Inc",Racine,Paramedic with Critical Care Endorsement,Critical Care Transport Service,Waterford,Region 7,,Other Primary Service Type,262-758-8558,tbluhm@lakeviewsystem.com,42.739197,-88.169723
Waterford (Village Of) Fire Department,Racine,Paramedic,911 Transporting Service,Waterford,Region 7,,911 Transporting Service,414-699-5729,dbrandt@waterfordwi.org,42.753151,-88.227523
Lauderdale-Lagrange Fire Department,Walworth,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Whitewater,Region 7,,911 Transporting Service,262-949-9704,bclark@llfd.org,42.799497,-88.601282
East Troy Rescue,Walworth,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,East Troy,Region 7,,911 Transporting Service,262-642-7439,jdegaro@gmail.com,42.80165,-88.379501
Raymond (Village Of) Fire & Rescue,Racine,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Franksville,Region 7,,911 Transporting Service,262-835-1687,firedepartment@raymondwi.com,42.805265,-88.01208
Caledonia Fire Department,Racine,Paramedic,911 Transporting Service,Caledonia,Region 7,,911 Transporting Service,262-835-2050,firechief@caledonia-wi.gov,42.814339,-87.894964
"Wind Lake Volunteer Fire Company, Inc.",Racine,Intermediate,911 Transporting Service,Wind Lake,Region 7,,911 Transporting Service,262-895-7533,assistantchief@townofnorwaywi.gov,42.827116,-88.159566
Norway (Town Of) Fire Department,Racine,Paramedic,911 Transporting Service,Wind Lake,Region 7,,911 Transporting Service,262-895-7533,clerk@townofnorway.org,42.827357649,-88.159174533
"Tichigan Volunteer Fire Company, Inc.",Racine,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Waterford,Region 7,,911 Transporting Service,262-662-3570,william722@aol.com,42.831446,-88.197878
Whitewater Fire And Ems,Walworth,Paramedic,911 Transporting Service,Whitewater,Region 7,,911 Transporting Service,262-473-0115,JDean@whitewater-wi.gov,42.831981,-88.733617
Mukwonago Fire Department,Waukesha,Paramedic with Critical Care Endorsement,911 Transporting Service,Mukwonago,Region 7,,911 Transporting Service,262-363-6426,ChiefStien@mukwonagofire.org,42.872101,-88.315201
Big Bend (Village Of) Fire Department,Waukesha,Emergency Medical Technician (EMT),911 Transporting Service,Big Bend,Region 7,,911 Transporting Service,262-662-2747,chiefsoneberg@villageofbigbend.com,42.877774,-88.209302
Kettle Moraine Fire District,Waukesha,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Eagle,Region 7,,911 Transporting Service,262-594-3302,assistantchief@kettlemorainefd.com,42.879108,-88.47388
Franklin Fire Department,Milwaukee,Paramedic,911 Transporting Service,Franklin,Region 7,,911 Transporting Service,414-425-1420,santhoine@franklinwi.gov,42.901486,-88.025926
South Milwaukee Fire Department,Milwaukee,Paramedic,911 Transporting Service,South Milwaukee,Region 7,,911 Transporting Service,414-768-8191,egner@smwi.org,42.906447,-87.859935
Vernon Fire Department Ems,Waukesha,Paramedic,911 Transporting Service,Big Bend,Region 7,,911 Transporting Service,262-662-2079,afelde3@live.com,42.910941744,-88.216026341
Oak Creek Fire Department,Milwaukee,Paramedic,911 Transporting Service,Oak Creek,Region 7,,911 Transporting Service,414-570-5630,mkressuk@oakcreekwi.gov,42.917823,-87.919571
Tess Corners Volunteer Fire Department,Waukesha,Intermediate,911 Transporting Service,Muskego,Region 7,,911 Transporting Service,414-422-9733,tesscorners@sbcglobal.net,42.9222,-88.0945
Cudahy Fire Department,Milwaukee,Paramedic,911 Transporting Service,Cudahy,Region 7,,911 Transporting Service,414-769-2231,bloor@cudahy-wi.gov,42.937098463,-87.870910847
128th Air Refueling Wing Fire And Emergency Services,Milwaukee,Emergency Medical Technician (EMT),911 Non-Transporting Service,Milwaukee,Region 7,,911 Non-Transporting Service,414-944-8458,tyler.lecher@us.af.mil,42.941732,-87.885746
Hales Corners Fire Department,Milwaukee,Paramedic,911 Transporting Service,Hales Corners,Region 7,,911 Transporting Service,414-529-6168,pjaskulski@halescornersfire.org,42.943511,-88.038412
Greendale Fire Department,Milwaukee,Paramedic,911 Transporting Service,Greendale,Region 7,,911 Transporting Service,414-423-2131,kkais@greendale.org,42.944772,-87.987911
Milwaukee County Fire Department - Airport,Milwaukee,Emergency Medical Technician (EMT),911 Non-Transporting Service,Milwaukee,Region 7,,911 Non-Transporting Service,414-769-3913,mphillips@mitchellairport.com,42.948751,-87.909408
Greenfield (City Of) Fire Department,Milwaukee,Paramedic,911 Transporting Service,Greenfield,Region 7,,911 Transporting Service,414-545-7946,Daniel.Weber@gffd.us,42.965754,-88.028108
New Berlin (City Of) Fire Department,Waukesha,Paramedic with Critical Care Endorsement,911 Transporting Service,New Berlin,Region 7,,911 Transporting Service,262-785-6120,cpierce@newberlin.org,42.970968,-88.116517
St. Francis Fire Department,Milwaukee,Paramedic,911 Transporting Service,Saint Francis,Region 7,,911 Transporting Service,414-483-4424,jeff.trudell@stfranwi.org,42.973908,-87.864679
Waukesha (Village Of) Fire Department,Waukesha,Intermediate,911 Transporting Service,Waukesha,Region 7,,911 Transporting Service,262-542-3199,Astolldorf@villageofwaukesha.com,42.979575058,-88.248097902
"Bell Ambulance, Inc.",Milwaukee,Paramedic with Critical Care Endorsement,911 Transporting Service,Milwaukee,Region 7,,911 Transporting Service,414-486-4044,canderson@264bell.com,42.999931,-87.902345
Waukesha (City Of) Fire Department,Waukesha,Paramedic,911 Transporting Service,Waukesha,Region 7,,911 Transporting Service,262-524-3650,dgraff@waukesha-wi.gov,43.01184193,-88.236134983
West Allis (City Of) Fire Department,Milwaukee,Paramedic,911 Transporting Service,West Allis,Region 7,,911 Transporting Service,414-302-8900,bmorawitz@westalliswi.gov,43.012472,-88.004007
Brookfield (Town Of) Fire Department,Waukesha,Paramedic,911 Transporting Service,Brookfield,Region 7,,911 Transporting Service,262-796-3793,jpschilling@tbfd.org,43.037031,-88.156865
Milwaukee County Emergency Medical Services,Milwaukee,Paramedic,911 Non-Transporting Service,Milwaukee,Region 7,,911 Non-Transporting Service,414-374-3837,dan.pojar@milwaukeecountywi.gov,43.038676,-87.919884
Flight For Life Transport System,Waukesha,Paramedic with Critical Care Endorsement,Air Medical Service,Waukesha,Region 7,,Air Medical Service,414-778-5427,lerickson@mrmcffl.org,43.03938,-88.244096
Marquette University Emergency Medical Services,Milwaukee,Emergency Medical Responder (EMR),911 Non-Transporting Service,Milwaukee,Region 7,,911 Non-Transporting Service,414-288-6800,liamhoyer82@gmail.com,43.039861561,-87.932767202
Milwaukee Fire Department,Milwaukee,Paramedic,911 Transporting Service,Milwaukee,Region 7,,911 Transporting Service,414-286-8981,MCIECI@milwaukee.gov,43.040106,-87.920635
Flight For Life Incorporated,Waukesha,Paramedic with Critical Care Endorsement,Air Medical Service,Waukesha,Region 7,,Air Medical Service,414-778-5427,lerickson@mrmcffl.org,43.040222439,-88.242720276
Children's Hospital Of Wisconsin-Transport Team,Milwaukee,Paramedic with Critical Care Endorsement,Interfacility Transfer Service,Wauwatosa,Region 7,,Other Primary Service Type,414-266-3826,NBadertscher@childrenswi.org,43.042546553,-88.024007959
Elm Grove Emergency Medical Service,Waukesha,Paramedic,911 Transporting Service,Elm Grove,Region 7,,911 Transporting Service,262-782-6700,emslicensing@cdell.fastmail.fm,43.045831,-88.082371
Wauwatosa Fire Department,Milwaukee,Paramedic,911 Transporting Service,Wauwatosa,Region 7,,911 Transporting Service,414-471-8490,csandoval@wauwatosa.net,43.051658,-88.008802
Pewaukee (City Of) Fire Department,Waukesha,Paramedic,911 Transporting Service,Waukesha,Region 7,,911 Transporting Service,262-522-2500,cook@pewaukee.wi.us,43.055912,-88.225092
Brookfield (City Of) Fire Department,Waukesha,Paramedic,911 Transporting Service,Brookfield,Region 7,,911 Transporting Service,262-782-8932,cass@ci.brookfield.wi.us,43.057786,-88.125916
Lake Country Fire And Rescue,Waukesha,Paramedic with Critical Care Endorsement,911 Transporting Service,Delafield,Region 7,,911 Transporting Service,262-646-6235,gherzberg@lakecountryfire.com,43.059741,-88.411733
Medix Ambulance Service Inc.,Milwaukee,Paramedic with Critical Care Endorsement,911 Transporting Service,Milwaukee,Region 7,,911 Transporting Service,262-763-8438,aibarra@medixals.com,43.060026,-87.883614
Curtis Universal Ambulance Service - Milwaukee,Milwaukee,Paramedic,911 Transporting Service,Milwaukee,Region 7,,911 Transporting Service,414-276-7711,drobakowski@curtisambulance.com,43.060026,-87.883514
Western Lakes Fire District,Waukesha,Paramedic with Critical Care Endorsement,911 Transporting Service,Oconomowoc,Region 7,,911 Transporting Service,262-567-8282,bbowen@westernlakesfd.org,43.081938254,-88.466188215
"Butler Volunteer Fire Department, Inc.",Waukesha,Emergency Medical Technician (EMT),911 Transporting Service,Butler,Region 7,,911 Transporting Service,262-783-2537,jseidl@butlerfire.org,43.104522,-88.068988
Hartland Fire Department Rescue,Waukesha,Paramedic,911 Transporting Service,Hartland,Region 7,,911 Transporting Service,262-367-6878,davej@villageofhartland.wi.gov,43.106827,-88.344647
Sussex Fire Department,Waukesha,Paramedic,911 Transporting Service,Sussex,Region 7,,911 Transporting Service,262-246-5197,bthew@villagesussex.org,43.13372,-88.231686
"Merton Community Fire Department, Inc. (Dropped)",Waukesha,Emergency Medical Technician (EMT),911 Transporting Service,Merton,Region 7,,911 Transporting Service,262-538-2300,josh.paral@mertonfire.com,43.141041528,-88.30999023
Merton (Village Of) Fire Department,Waukesha,Emergency Medical Technician (EMT),911 Transporting Service,Merton,Region 7,,911 Transporting Service,262-538-2300,info@mertonfire.com,43.141135456,-88.309745245
Menomonee Falls (Village Of) Fire Department,Waukesha,Paramedic,911 Transporting Service,Menomonee Falls,Region 7,,911 Transporting Service,262-532-8853,rschone@menomonee-falls.org,43.153941,-88.084406
Lisbon Fire Department (Dropped),Waukesha,Paramedic with Critical Care Endorsement,911 Transporting Service,Lisbon (Town of),Region 7,,911 Transporting Service,262-538-3902,mdrager@townoflisbonwi.com,43.174963583,-88.211205132
North Shore Fire Department,Milwaukee,Paramedic,911 Transporting Service,Brown Deer,Region 7,,911 Transporting Service,414-357-0113,jboehlke@nsfire.org,43.177564,-87.965754
"Superior Air Ground Ambulance Service Of Wisconsin, Inc.",Waukesha,Paramedic with Critical Care Endorsement,Interfacility Transfer Service,Menomonee Falls,Region 7,,Other Primary Service Type,630-716-0807,avandusseldorp@superiorambulance.com,43.180206,-88.089214
Fox Point Police Department First Responders,Milwaukee,Emergency Medical Responder (EMR),911 Non-Transporting Service,Fox Point,Region 7,,911 Non-Transporting Service,414-351-8911,cfreedy@villageoffoxpoint.com,43.1821,-87.9081
Southern Ozaukee Fire And Emergency Medical Services Department,Ozaukee,Paramedic with Critical Care Endorsement,911 Transporting Service,Mequon,Region 7,,911 Transporting Service,262-242-2530,dbialk@sofdwi.gov,43.222355724,-87.989142331
Germantown Fire Department,Washington,Paramedic,911 Transporting Service,Germantown,Region 7,,911 Transporting Service,262-502-4701,rholms@germantownwi.gov,43.227579,-88.141819
Richfield Volunteer Fire Company,Washington,Paramedic,911 Transporting Service,Hubertus,Region 7,,911 Transporting Service,262-628-1601,greg.west@richfieldfire.com,43.23688,-88.245131
Richfield Fire Department,Washington,Paramedic,911 Transporting Service,Hubertus,Region 7,,911 Transporting Service,262-628-1601,ems@richfieldwi.gov,43.237463649,-88.246348418
Cedarburg Fire Department Rescue Squad,Ozaukee,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Cedarburg,Region 7,,911 Transporting Service,262-375-7630,jvahsholtz@cityofcedarburg.wi.gov,43.298464,-87.986411
Ozaukee Central Fire Department,Ozaukee,Paramedic,911 Transporting Service,Grafton,Region 7,,911 Transporting Service,262-375-5314,info@ozcentralfirewi.gov,43.316854709,-87.950785559
Grafton Fire Department,Ozaukee,Paramedic,911 Transporting Service,Grafton,Region 7,,911 Transporting Service,262-375-5314,mkarpinski@ozcentralfirewi.gov,43.31688,-87.950662
Hartford Fire & Rescue,Washington,Paramedic,911 Transporting Service,Hartford,Region 7,,911 Transporting Service,262-673-8295,edaly@hartford.wi.gov,43.32001,-88.380327
Jackson Fire Department,Washington,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Jackson,Region 7,,911 Transporting Service,262-677-3811,aswaney@jacksonfdwi.gov,43.322,-88.1887
Jackson Fire Department (Interfacility),Washington,Advanced Emergency Medical Technician (AEMT),Interfacility Transfer Service,Jackson,Region 7,,Other Primary Service Type,262-677-3811,aswaney@jacksonfdwi.gov,43.323395714,-88.15416209
St. Lawrence Fire Company,Washington,Emergency Medical Responder (EMR),911 Non-Transporting Service,Hartford,Region 7,,911 Non-Transporting Service,262-644-8529,slfd2537@gmail.com,43.371605,-88.335405
Saukville Ambulance,Ozaukee,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Saukville,Region 7,,911 Transporting Service,262-284-5800,dlaabs@village.saukville.wi.us,43.383978,-87.931818
Port Washington Fire Department Ambulance,Ozaukee,Paramedic,911 Transporting Service,Port Washington,Region 7,,911 Transporting Service,262-284-2891,jdeboer@portwashingtonwi.gov,43.38953,-87.871159
Charter Steel Emergency Response Team,Ozaukee,Emergency Medical Responder (EMR),911 Non-Transporting Service,Saukville,Region 7,,911 Non-Transporting Service,800-437-8789,burmescht@chartermfg.com,43.400371186,-87.949003947
"Allenton Volunteer Fire Department, Inc.",Washington,Advanced Emergency Medical Technician (AEMT),911 Transporting Service,Allenton,Region 7,,911 Transporting Service,262-629-5413,chief1304@allentonfiredepartment.org,43.417425,-88.341501
